;bassoon;cello;clarinet;contrabass;drums;electric_guitar;flute;harpsichord;piano;violin
bassoon;-1.3202549e-06;0.23536316;0.5780881;0.38070473;0.9274467;0.64439595;0.7468035;0.91130596;0.59088075;1.0
cello;0.23536316;-5.2810196e-06;0.4261862;0.15719219;0.71682644;0.5440665;0.5168382;0.74482644;0.6167082;0.5358281
clarinet;0.5780881;0.4261862;-5.2810196e-06;0.6209786;0.81755924;0.589948;0.20095666;0.49284852;0.39611804;0.41556078
contrabass;0.38070473;0.15719219;0.6209786;-2.6405098e-06;0.6474576;0.43348455;0.6580104;0.8315903;0.57344544;0.77585703
drums;0.9274467;0.71682644;0.81755924;0.6474576;1.3202549e-06;0.38659307;0.8950193;0.9085532;0.84125453;0.955417
electric_guitar;0.64439595;0.5440665;0.589948;0.43348455;0.38659307;-1.3202549e-06;0.7650778;0.7729287;0.44891176;0.96193177
flute;0.7468035;0.5168382;0.20095666;0.6580104;0.8950193;0.7650778;1.3202549e-06;0.7224349;0.5892265;0.49737105
harpsichord;0.91130596;0.74482644;0.49284852;0.8315903;0.9085532;0.7729287;0.7224349;0.0;0.62148625;0.65611255
piano;0.59088075;0.6167082;0.39611804;0.57344544;0.84125453;0.44891176;0.5892265;0.62148625;-5.2810196e-06;0.9752386
violin;1.0;0.5358281;0.41556078;0.77585703;0.955417;0.96193177;0.49737105;0.65611255;0.9752386;-3.960765e-06
